"Q1_star_avg","EIF_std","num_pp","Q1_star_lb","Q1_star_ub","patient_profiles","htn_med_class"
0.353668654138107,0.0185199404623188,967,0.317369570831963,0.389967737444252,"[0,65]_[0,150]_[0,90]_(30,100]_[0,200]_(0.95,5]","arb"
0.145810664760489,0.0223697572730747,660,0.101965940505263,0.189655389015716,"[0,65]_(150,300]_(90,200]_[0,30]_(200,300]_[0,0.95]","arb"
0.112239818847186,0.0395429432898359,455,0.0347356499991072,0.189743987695264,"[0,65]_(150,300]_(90,200]_[0,30]_[0,200]_[0,0.95]","arb"
0.319617044281097,0.0189698798138593,700,0.282436079845933,0.356798008716262,"(65,150]_[0,150]_[0,90]_(30,100]_(200,300]_[0,0.95]","arb"
0.28837971227597,0.023162452910226,1403,0.242981304571926,0.333778119980013,"(65,150]_[0,150]_[0,90]_(30,100]_[0,200]_[0,0.95]","arb"
0.284694389585999,0.0613636258099955,395,0.164421682998408,0.40496709617359,"(65,150]_(150,300]_(90,200]_[0,30]_(200,300]_[0,0.95]","arb"
0.338699610176559,0.0239908296223068,507,0.291677584116837,0.38572163623628,"[0,65]_[0,150]_[0,90]_(30,100]_(200,300]_(0.95,5]","arb"
0.160371953875434,0.0236216288462175,882,0.114073561336847,0.20667034641402,"[0,65]_(150,300]_(90,200]_(30,100]_(200,300]_[0,0.95]","arb"
0.439233798050434,0.0647110293807179,272,0.312400180464227,0.566067415636642,"[0,65]_[0,150]_(90,200]_[0,30]_(200,300]_(0.95,5]","arb"
0.135086386571601,0.0297281146740425,206,0.0768192818104777,0.193353491332724,"(65,150]_(150,300]_(90,200]_(30,100]_[0,200]_(0.95,5]","arb"
0.107058985973747,0.0223424521103205,553,0.0632677798375192,0.150850192109976,"[0,65]_(150,300]_(90,200]_(30,100]_(200,300]_(0.95,5]","arb"
0.220219479577611,0.0322318402061606,605,0.157045072773536,0.283393886381686,"[0,65]_[0,150]_(90,200]_(30,100]_(200,300]_[0,0.95]","arb"
